username,repo_name,repo_url,stars
metabase,metabase,https://github.com/metabase/metabase,26400
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,12200
LightTable,LightTable,https://github.com/LightTable/LightTable,11600
kanaka,mal,https://github.com/kanaka/mal,8200
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8100
logseq,logseq,https://github.com/logseq/logseq,7000
penpot,penpot,https://github.com/penpot/penpot,5000
tonsky,datascript,https://github.com/tonsky/datascript,4400
reagent-project,reagent,https://github.com/reagent-project/reagent,4300
riemann,riemann,https://github.com/riemann/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3700
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3600
ring-clojure,ring,https://github.com/ring-clojure/ring,3400
status-im,status-react,https://github.com/status-im/status-react,3300
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3200
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
viebel,klipse,https://github.com/viebel/klipse,2800
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2800
twosigma,beakerx,https://github.com/twosigma/beakerx,2600
pedestal,pedestal,https://github.com/pedestal/pedestal,2400
clj-commons,aleph,https://github.com/clj-commons/aleph,2400
babashka,babashka,https://github.com/babashka/babashka,2300
weavejester,hiccup,https://github.com/weavejester/hiccup,2300
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,2300
http-kit,http-kit,https://github.com/http-kit/http-kit,2200
onyx-platform,onyx,https://github.com/onyx-platform/onyx,2000
defold,defold,https://github.com/defold/defold,1900
anmonteiro,lumo,https://github.com/anmonteiro/lumo,1800
boot-clj,boot,https://github.com/boot-clj/boot,1700
