username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,17800
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12200
microsoft,recommenders,https://github.com/microsoft/recommenders,11600
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,11000
pulumi,pulumi,https://github.com/pulumi/pulumi,10400
mozilla,sops,https://github.com/mozilla/sops,8500
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8100
google,go-cloud,https://github.com/google/go-cloud,8000
caprover,caprover,https://github.com/caprover/caprover,7800
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6600
node-formidable,formidable,https://github.com/node-formidable/formidable,6000
midwayjs,midway,https://github.com/midwayjs/midway,4900
infracost,infracost,https://github.com/infracost/infracost,4300
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4300
budtmo,docker-android,https://github.com/budtmo/docker-android,3900
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,3900
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,3700
simov,grant,https://github.com/simov/grant,3500
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,3500
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,3400
Qovery,engine,https://github.com/Qovery/engine,3400
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3000
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,2900
Azure,azure-powershell,https://github.com/Azure/azure-powershell,2800
Azure,azure-cli,https://github.com/Azure/azure-cli,2800
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,2700
mlabouardy,komiser,https://github.com/mlabouardy/komiser,2700
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,2600
microsoft,SynapseML,https://github.com/microsoft/SynapseML,2500
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2300
